record_key,place_id,data_id,restaurant_name,address,section,item_name,description,price,currency,source_url,source_type,raw_text
place_id:ChIJCQbEvTDGxokRneVcOpxMXDI,ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,"124 S 18th St, Philadelphia, PA 19103",Snacks,Billingsgate Crab Croquettes,,18,USD,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,html_heuristic,Billingsgate Crab Croquettes $18
place_id:ChIJCQbEvTDGxokRneVcOpxMXDI,ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,"124 S 18th St, Philadelphia, PA 19103",Billingsgate Crab Croquettes $18,Deviled Eggs,,12,USD,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,html_heuristic,Deviled Eggs $12
place_id:ChIJCQbEvTDGxokRneVcOpxMXDI,ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,"124 S 18th St, Philadelphia, PA 19103",Deviled Eggs $12,Welsh Rarebit,.5,8,USD,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,html_heuristic,Welsh Rarebit $8.5
place_id:ChIJCQbEvTDGxokRneVcOpxMXDI,ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,"124 S 18th St, Philadelphia, PA 19103",Welsh Rarebit $8.5,Marinated Bar Olives,,9,USD,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,html_heuristic,Marinated Bar Olives $9
place_id:ChIJCQbEvTDGxokRneVcOpxMXDI,ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,"124 S 18th St, Philadelphia, PA 19103",Marinated Bar Olives $9,Cashew Hummus,,14,USD,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,html_heuristic,Cashew Hummus $14
place_id:ChIJCQbEvTDGxokRneVcOpxMXDI,ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,"124 S 18th St, Philadelphia, PA 19103",Cashew Hummus $14,House Made Ricotta,,16,USD,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,html_heuristic,House Made Ricotta $16
place_id:ChIJCQbEvTDGxokRneVcOpxMXDI,ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,"124 S 18th St, Philadelphia, PA 19103",House Made Ricotta $16,Pickled Beetroot,,15,USD,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,html_heuristic,Pickled Beetroot $15
place_id:ChIJCQbEvTDGxokRneVcOpxMXDI,ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,"124 S 18th St, Philadelphia, PA 19103",Pickled Beetroot $15,Chicken & Duck Liver Parfait*,,16,USD,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,html_heuristic,Chicken & Duck Liver Parfait* $16
place_id:ChIJCQbEvTDGxokRneVcOpxMXDI,ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,"124 S 18th St, Philadelphia, PA 19103",Chicken & Duck Liver Parfait* $16,Beef Tartare*,,18,USD,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,html_heuristic,Beef Tartare* $18
place_id:ChIJCQbEvTDGxokRneVcOpxMXDI,ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,"124 S 18th St, Philadelphia, PA 19103",Beef Tartare* $18,Cheese Board,,23,USD,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,html_heuristic,Cheese Board $23
